SURF4,ADAMTS13,CACFD1,SLC2A6,TMEM8C,ADAMTSL2,FAM163B,DBH,SARDH,VAV2,BRD3,WDR5,RXRA,COL5A1,FCN2,FCN1,OLFM1,C9orf62,PPP1R26,C9orf116,MRPS2,LCN1,OBP2A,PAEP,GLT6D1,KCNT1,CAMSAP1,UBAC1,NACC2,C9orf69,LHX3,QSOX2,GPSM1,DNLZ,CARD9,SNAPC4,SDCCAG3,PMPCA,INPP5E,SEC16A,C9orf163,NOTCH1,EGFL7,AGPAT2,FAM69B,LCN10,LCN6,LCN8,LCN15,TMEM141,KIAA1984,RABL6,C9orf172,PHPT1,MAMDC4,EDF1,TRAF2,FBXW5,C8G,LCN12,PTGDS,LCNL1,C9orf142,CLIC3,FUT7,C9orf139,NPDC1,ENTPD2,SAPCD2,UAP1L1,MAN1B1,DPP7,GRIN1,LRRC26,ANAPC2,SSNA1,TPRN,TMEM203,NDOR1,RNF208,C9orf169,RNF224,TUBB4B,FAM166A,C9orf173,NELFB,TOR4A,NRARP,EXD3,NOXA1,ENTPD8,NSMF,PNPLA7,MRPL41,DPH7,ZMYND19,ARRDC1,C9orf37,EHMT1,FAM157B,labels
-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,real
-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,real
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,real
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,real
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.21,0.14,0.12,0.12,0.2,0.25,0.25,0.25,0.25,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.32,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.15,0.09,real
-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,real
0.14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.96,0.96,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.35,real
-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,real
0,-0.2,-0.45,-0.45,-0.45,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.51,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.42,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.44,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,real
-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.11,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,real
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,real
-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,real
-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.12,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.39,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.17,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.83,real
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,-0.02,-0.02,-0.02,real
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,real
-0.10464079810306431,0.09860981257399548,-0.48534164443379274,0.6500119343120605,-0.36078701205085967,0.7395916427881457,-0.050851396701764306,0.6696334840031342,0.6791263430635446,-0.11838667296804489,0.5426130155543796,-0.3227015633578413,0.14087275883182893,0.021199193671345706,0.19857394540915274,0.4113364920881578,-0.5387624979321844,-0.4294833060423844,-0.3917920110351406,0.3373027921118774,-0.5329564570169896,0.4158814344950953,-0.6171955821639858,0.48257383986376234,-0.30732704943045974,-0.40723338995128866,0.5419179928069936,0.6154079860961065,0.19876271777320653,0.6723088605166414,-0.5246267180307769,0.17475651259999725,0.08734535030089319,-0.31211506818654017,0.5829968812083826,0.37587920455029233,0.6096787842083722,-0.23194742367370058,0.5991391856013797,-0.22104729690589014,-0.08704915477894248,0.4402231170260348,-0.0025589156174100625,-0.5165834554261528,0.05126028577564279,-0.23212330232141543,-0.41478291805600753,0.7337343286559916,-0.49213613267056644,0.3185722229722887,0.6364570534951053,-0.07012161782244225,0.20773199212970206,0.0754824022506364,-0.1693859488563612,0.37076234409585596,-0.046033466970548054,0.29238121030852193,-0.1012290313537233,0.4717088961647824,0.7425069222669116,-0.38539117837324743,0.1131541274976916,-0.2504325760272332,0.5913456685980782,0.017693080143071693,-0.5000862037041225,0.17725415693363178,-0.3616268688137643,-0.1016545048262924,0.0641750976722687,0.22717785730957996,0.6139731212239714,-0.2701558986213058,-0.2623942759167403,0.07015433640219282,-0.08696203816216436,0.15973611830733725,-0.3241609643260017,0.19340559546370062,-0.43294440493918956,0.14112635430414233,-0.20839704882353544,-0.3327690271195024,0.5224502542102711,0.08290983317419887,-0.0841183195239864,0.6130302021978423,0.5863809835631401,-0.5546838624519296,-0.0317394765675999,-0.5966066199704073,0.43245442267507317,0.4935085461824201,0.5419571618898772,-0.10201585714239625,0.5634923139354214,0.07800099815940487,0.49458135848399254,0.9293817748804577,phony
-0.035249331672675965,-0.4814784032129683,0.14696476106764744,-0.1882595192687586,0.6960407122690231,0.8176317227748224,-0.41489421297796075,0.37920357670634985,0.04453068426111717,0.2617963919765316,0.6102048699720763,-0.4595563787128777,0.2412063063425013,0.23282927817665044,-0.35309823108371347,0.20470868066651748,0.7081873541045934,0.7164241427485832,-0.2725082437461242,0.15824843365000563,0.6479442373313943,-0.292078834825661,-0.12812970912316812,-0.4455972629087046,-0.2278186485241167,-0.38845381782855837,-0.546445437236689,-0.3328188497247174,-0.2810998188541271,-0.463636090727523,-0.3949077274068259,0.18950086833909152,-0.43198252591304487,0.7367921907664277,-0.16699747900012885,-0.12468265698989855,-0.44323518758639696,-0.38171677326317877,0.31992171591380614,0.48075088046956815,-0.17541730102850128,-0.4202056865440682,0.33802740204147996,0.2587483880785294,0.531330844371114,0.2796668518707156,-0.16932382294442505,-0.18107808068394665,-0.10286870922660457,0.07563802999677138,0.7108630900434219,0.9115721913962624,-0.009687106297351478,-0.32527910542674365,0.7053642566292546,-0.32338315110886473,-0.4235119156423025,0.3677450543711893,-0.43380350798368456,0.04597261420451104,-0.4707651478494518,0.7108649507211522,-0.18774861244950447,-0.2624774109572172,-0.024724941451568117,-0.29100243403809145,0.2492498189886101,-0.17645655426662415,0.21562288034474475,0.025335045470856077,0.6646958239935339,0.5487064151698724,0.17926166077144456,-0.36235051658935846,0.08108105118852116,0.13120692678261558,-0.070669427444227,-0.0683489701338112,0.5823586496338249,-0.39579673164989804,0.2427461724681781,-0.16050612343475218,-0.167229688251391,0.1705135942390189,0.31253886768594397,-0.08025979883968826,0.5242167960153893,0.604893258982338,0.5529215631890111,-0.0852077114046551,0.3683825881802477,-0.5018905177945271,-0.13715024370467288,0.04614227041602137,0.6381761014694348,0.5431369974161498,0.3401916977367364,0.5496008804533631,-0.2576079740771092,1.2440267419582232,phony
-0.21184929176233713,0.510350902476348,0.42446462314575917,0.1663748407969251,0.35134343212237584,-0.008852525642141673,0.6467748168855907,-0.5101123820012435,-0.5275013537611812,0.14542333208024494,0.4712555688619613,0.1829212043317966,0.4885431748931296,-0.3442811718746088,0.5996537350164727,-0.3492739794845693,-0.013920709881931503,-0.3511952248471789,-0.34193015773314983,0.17470747451763602,0.5467928450368346,0.25584153297124435,-0.3827654421050101,0.17622010367223995,-0.6119223848171532,0.43267689918167906,-0.051666842023841975,0.321313370312564,0.47443690441548814,-0.27524328148458155,0.704928716274444,0.3121924338908866,0.15396798928966748,-0.2691844985075295,0.2610402591759339,0.5263038370804862,-0.19210165433352816,0.6857307147048415,-0.2589673828333616,0.30747632497455923,0.6857788247126155,0.586315934115555,-0.14137175494804982,0.04342822646256539,-0.3980476644774899,-0.07619174791034311,0.19937423649244013,0.6788268842874094,0.6317334595182911,0.049126084814779425,-0.35054793467046697,0.5567146400315686,0.5562295925966463,0.06599745560437442,0.5667890791571699,-0.008774499814026115,-0.41552058141445747,0.23238549534697084,0.47800230384571485,0.302077098339796,0.7565692517650313,-0.2966490377020091,-0.15717118374072014,-0.49184190320549537,-0.186687585527543,0.40183374324580656,-0.01438281947048381,-0.2399424507236108,-0.030465161383617656,-0.22169521883130078,0.4107537675183266,-0.049663238828070444,-0.2957714397087693,0.6135076803481208,0.2928338558832184,0.583775012632832,-0.29587445518001915,-0.395209686383605,0.10947513759136207,0.5558799296384678,-0.4900865507684648,0.23962505721952776,0.2678955284086988,-0.31130307650659234,-0.3930106727406383,0.5851138642057778,-0.09315177480457348,0.3045063945814036,-0.40332331819226963,-0.4142206555348821,-0.560851876239758,-0.34653685523662714,-0.4607871294370852,-0.47673978059319777,-0.3645737591665238,-0.5863932066364214,0.5549226989154704,-0.345024426956661,-0.36384980138391254,0.09077602516626948,phony
-0.30158946142531934,-0.5252541053947062,-0.2642504713032395,0.5156243938393892,-0.35066641102079305,0.7085193468653597,-0.4682278517889791,0.6703781594731846,0.7661407607537696,0.1880849913274869,0.40857876245863733,0.672984998980537,-0.35579937078058715,-0.3146416697837412,-0.2768008162686601,0.016194875612855042,0.3615363240404986,-0.3376892835320905,0.3405249803024345,-0.10253123936243347,-0.5522767926519736,0.4608674944890664,0.36382164402632045,-0.10713856355985618,-0.4921393796405755,-0.6104114379105158,0.37218493543798103,0.6695450712833552,0.1980506629869342,0.6140775206731632,0.1200221995636821,-0.43779375765705486,0.39469793932745234,-0.353109169730451,0.31446505485801024,0.6110929977986961,-0.038001524915453055,0.2678924654726871,0.689022144882474,-0.027903030074667212,-0.3156975678307936,0.0996674805763178,-0.5132572430395521,0.3495152909238822,-0.519827043209225,-0.3443319570133463,-0.07169130220543596,0.6438308373442851,-0.5180405387911015,0.23258617612300436,-0.2880134203075432,-0.42844995894469323,0.7752884247456677,0.623970757080242,0.0054101310251281065,0.09769555894657966,-0.4010243382654153,-0.4860688719712198,0.6835830345680005,0.02436955586541445,0.11576912908582015,-0.4882343788724393,0.20356999208917836,-0.15654494028771299,0.7404491280321963,0.037430981909856165,-0.2348892149352469,-0.06228077636100354,-0.4579322616872378,-0.5271975117782131,-0.15627094665542246,0.2498703342629598,0.41120744326617575,0.0032357831625268174,0.10026922647375625,0.4993863538373262,0.6126346190366896,0.3631596401473508,-0.14510564923752095,0.1514361790753902,-0.47502884074579926,-0.3574695222033188,0.2977940001618118,0.29035087987780583,0.547568612592295,0.2940421210601927,0.44721495998092,0.06204097296576949,0.4915070521878079,0.6016568524995819,0.27163529708050194,0.39765472899889576,-0.13212016931502146,0.5393851527827792,-0.12795504679670555,0.1268117679632269,0.0011466143536381646,-0.5178673868300393,-0.45889286414021624,-0.2782082913373596,phony
-0.37646410791203383,0.5392616354930215,-0.16629526736913253,0.12933548341738066,0.05056389600969846,-0.5370790593698621,0.36716598849976434,-0.1623167854640633,0.34334612971870226,-0.2441240943782032,0.25507325748680154,0.5028439129237086,0.654883787627332,-0.2927692788024433,0.7172564012976365,-0.2586503404495306,0.2788750883820468,-0.1090505351847969,-0.28147911108797413,-0.1317159313196316,0.3100838685105556,-0.3374379012454301,0.6494234178029001,0.2795722830388696,0.6266681281314231,0.029379949816502715,-0.21918981532333415,0.5618201581435277,-0.33394564190879467,-0.4934462402155623,0.1347459839261137,0.5013282464421354,-0.3072078672167845,-0.010807290084194454,0.059908479489386046,-0.20033237293595452,-0.09937315564369786,-0.3692511527473107,0.40886842180741956,0.1146761759975925,-0.3494441295810975,0.0824087815592065,0.6189126375759952,-0.23389495315495878,-0.21457129681948572,-0.0813549207686447,-0.5291221331479028,-0.007915209403727252,0.2774257642100565,-0.17873464193195104,0.649199290862307,0.7691384728206321,0.9483238867111503,0.44136480395216493,0.299900047427509,0.4584387444285676,-0.16724503293633464,0.54148340519052,-0.46267930861329665,0.7478382661519571,0.05976949842646717,-0.48583650110522286,-0.387995772480499,-0.18608048527967186,0.3737271567014977,-0.12560225978959355,-0.425734231332317,-0.2915338402939961,-0.20677956270286812,0.2368800748861395,0.04279716859571636,0.22694230333901955,0.5883186500053854,-0.4547277837386355,0.22040478596463808,0.11634967542253438,0.23555109336972246,-0.10085905590560285,0.5771102306712419,-0.4270490171341226,0.40623502304777515,0.43697649047244347,0.2612753571057693,-0.18593492555897678,-0.08240077785681932,0.020768923778086923,0.4981352152884938,0.011286517523694806,0.4092382325092331,-0.5874142350745387,-0.5608745594741776,0.4177100339205936,0.12433495923178273,-0.5282012757612392,0.510290810756851,0.5679643404204399,0.14821562418946999,0.32616064823232593,-0.28659721431322394,-0.4173252577707171,phony
